article_id	span_start	span_end	span	context	label
697959084	128	157	astonishing eyewitness report	Eyewitness Confessional: There Was An Active Shooter Targeting The Bellagio Hotel During The Las Vegas Massacre  In yet another astonishing eyewitness report that contradicts the official story surrounding the worst mass shooting in American history, a married couple who were celebrating their 10th anniversary in Las Vegas at the time of the shooting have come forward to reveal that there was an active shooter inside the Bellagio Hotel around the same time that supposed lone gunman Stephen Paddock was found dead.	Loaded_Language
790665855	3248	3257	Seriously	Seriously.	Loaded_Language
725731328	1996	2062	My god will wipe this country (America) from the face of the earth	Hitler was a very great man.” “My god will wipe this country (America) from the face of the earth.” On on the Jewish people: “You are wicked deceivers of the American people.	Appeal_to_fear-prejudice
703698295	10820	10828	lionized	Reportedly removed from CDF – and of course lionized by “conservatives” – for his mild and equivocating opposition to Amoris Laetitia, Muller has gone back and forth in what can easily be seen as a desperate attempt to find friends in both camps.	Loaded_Language
790483991	4083	4117	a devastating crime for the Church	The silence of the pastors who could have provided a remedy and prevented new victims became increasingly indefensible, a devastating crime for the Church.	Loaded_Language
764664283	5580	5596	peaceful fantasy	Wills’ peaceful fantasy Qur’an raises one massive question that the author does not and cannot answer: if the Islamic holy book is really as peaceful and benign as Garry Wills makes it out to be, why do so very many Muslims worldwide misunderstand it?	Loaded_Language
703806098	1435	1455	stunning tower audio	They’re on the airport property” pic.twitter.com/HZf3LBeAgk — Mike Tokes (@MikeTokes) October 29, 2017 This stunning tower audio once again provides proof that the entire narrative that claims that Stephen Paddock operated alone from the 32nd floor of the Mandalay Bay Hotel is complete nonsense and that authorities are actually actively covering up what really happened on that fateful night.	Loaded_Language
793921939	1974	1989	“America first”	But she is already coming under criticism from some conservatives on social media who maintain that Powell is a “globalist” not closely enough aligned with Trump’s “America first” approach to foreign policy.	Slogans
761546223	4012	4025	homeschooling	Concern about the safety of students in government-run schools is one reason many parents are considering homeschooling, but it is not the only reason.	Repetition
765982381	2626	2635	deafening	The silence of what used to be the noble profession of journalism is deafening.	Loaded_Language
777488669	19871	19878	abolish	Sufficient of itself to expiate every sin which the children of Adam could ever commit, the execution of the Man-God nevertheless did not abolish the penalty of death.	Loaded_Language
765913191	5827	5905	We wouldn’t be doing our jobs as mayors if we weren’t focusing on gun violence	Louis Mayor Lyda Krewson said the new resolutions show mayors will “lead the way in solving our gun violence crisis.” “We wouldn’t be doing our jobs as mayors if we weren’t focusing on gun violence — an issue that threatens the public safety of every community, big and small,” she said.	Black-and-White_Fallacy
755393220	2380	2389	Free Iran	It just so happens that at least one of these calls for regime change in Iran was caught on video last year as Bolton gave a speech at the Grand Gathering of Iranians for Free Iran.	Slogans
774007496	1640	1667	They're all crazy in Europe	They're all crazy in Europe.	Thought-terminating_Cliches
999001188	384	403	the border-crashers	Not with the changes they’ve made in response to the border-crashers that pushed their way into Mexico.	Name_Calling,Labeling
764518567	4804	4852	give Hillary Clinton a Get Out of Jail Free card	However, what Comey really did was to give Hillary Clinton a Get Out of Jail Free card.	Loaded_Language
766942310	4188	4205	America’s stooges	Trump completely ignored America’s two old allies after his meeting with Kim – who routinely blasts Japan and South Korea as ‘America’s stooges.’ Instead, Trump sent his beginner Secretary of State Mike Pompeo to explain what happened in Singapore, inflicting a deep loss of face on Tokyo and Seoul.	Name_Calling,Labeling
999000142	2527	2553	What was even more amazing	What was even more amazing is that the audience laughed hysterically.	Exaggeration,Minimisation
700387229	2948	3026	“It has been a long time since we have seen the plague in an urban environment	Manitra Rakotoarivony, Madagascar’s director of health promotion, said: “Normally, people who catch the plague live in poor areas, but people in every place in society are catching the disease.” Jimmy Whitworth, professor of International Public Health at the London School of Hygiene and Tropical Medicine, told The Sun: “It has been a long time since we have seen the plague in an urban environment.	Appeal_to_Authority
778664280	5422	5440	candid explanation	"REMNANT COMMENT: While we certainly appreciate His Excellency's candid explanation of what he knew and did not know about this horrific scandal in the Church, we would also humbly beg him to take it one step further by publicly proclaiming his profession of belief in the Church's official teaching against the mortal sin of homosexual acts and the so-called ""gay lifestyle,"" which includes her long-held teaching that homosexual activity between clerics is an ecclesiastical crime."	Loaded_Language
699142854	692	708	murderous regime	For the first time since 2009, when Obama backed the murderous regime in Tehran, spurning the millions of Iranians who rose up in the Green Revolution, Trump opened up the possibility that the US may begin to base its policies toward Iran on reality.	Loaded_Language
725276027	198	212	illegal aliens	One of the Indonesian illegal aliens benefiting from her little amnesty took the hint and used the opportunity that Saris created to flee from arrest and deportation, absconding to a sanctuary church to hide from arrest.	Loaded_Language
762200179	6195	6198	our	"""(T)his is the kind of work the US Government needs to do every day to make our sanctions regimes effective without creating such burdens on allies and partners that they are pushed to work around our financial dominance,"" Blanc said."	Flag-Waving
769962236	139	143	ugly	Communist Door Boy Attacks Teen Trump Supporter  Down in San Antonio, Texas the dangerous and violent predilections of the left reared its ugly head once again.	Loaded_Language
774007496	1538	1543	demon	He is alleged to have beaten her to death while calling her a demon and shouting about Allah before throwing her body from the window of her third-story apartment.	Name_Calling,Labeling
785801366	5645	5658	the jihadists	This has to also involve, as Gorka urges, “a nationwide program of education that includes the armed services as well as federal, state, and local police forces and the intelligence community.” The education campaign must also focus on the second part of Gorka’s counter-propaganda campaign, which is to help strengthen Muslims who seek to seize Islam from the jihadists’ hands.	Repetition
694327499	9393	9408	synodal charade	Quite to the contrary, confusion as a cover for the introduction of Holy Communion for “certain” public adulterers by Bergoglio’s co-conspirators in the Vatican and various dioceses is exactly what he was aiming to achieve from the beginning of the whole synodal charade, which was merely a vehicle for promulgation of AL.	Loaded_Language
761674108	4693	4715	there is no going back	After the Trumpian revolt, there is no going back.	Thought-terminating_Cliches
780414700	866	887	DEFEND BISHOP MORLINO	Bishop Morlino does this in a moment when he is under heavy attack as a “hater” for defending the Church’s teaching on marriage—an attack, by the way, which prompted us here at The Remnant to join the fight to DEFEND BISHOP MORLINO last year.	Loaded_Language
781768042	2892	2905	the righteous	That be far from thee to do after this manner, to slay the righteous with the wicked: and that the righteous should be as the wicked, that be far from thee: Shall not the Judge of all the earth do right?	Name_Calling,Labeling
761968851	6237	6257	ADVANTAGE IMMIGRANTS	ADVANTAGE IMMIGRANTS The number of unemployed Americans fell by 763,000—down 12.7%, while the number of unemployed immigrants fell 129,000—down by 11%.	Loaded_Language
725276027	3316	3333	That’s my concern	“That’s my concern.” And Kritarch Saris has not stopped.	Thought-terminating_Cliches
761968851	7163	7170	woke up	What could happen if the GOP-controlled Congress woke up and enacted an immigration moratorium?	Loaded_Language
999000133	145	162	demonizing people	"Don Lemon Is Lying... Again: Biggest Threat Isn't ""White Men"" - The FBI's Most Wanted Domestic Terrorists Are These People  “So, we have to stop demonizing people and realize the biggest terror threat in this country is white men, most of them radicalized to the right."	Loaded_Language
703698295	5829	5877	I have done what I believe God wanted me to do,[	I wanted them to know that I listened.”  “I have done what I believe God wanted me to do,[1]” he said.	Appeal_to_fear-prejudice
765385479	4028	4046	shocking interview	At no time was Assange offered the right of reply to this shocking interview, which Australia’s publicly-funded state broadcaster had a duty to give him.	Loaded_Language
780414700	601	654	look the beast in the eye and speak its name out loud	And now this, finally, a bishop with the courage to look the beast in the eye and speak its name out loud.	Loaded_Language
783702663	9010	9121	Ignoring eleven pages of detail, written and published under oath, he suggests there has been no “Documentation	Ignoring eleven pages of detail, written and published under oath, he suggests there has been no “Documentation.	Doubt
999000849	3967	3972	sheer	To ensure the success of the military operation, in addition to sheer troop numbers, the US forces have drones, helicopters with night-vision capabilities, and fixed-wing aircraft at their disposal.	Loaded_Language
789615291	12154	12187	increasingly rabid left-wing base	Just ask Boy Scout Mitt Romney, who was savaged for his innocuous “binders full of women.” And don’t forget, the old sorta, kinda moderate Democrats like Feinstein and Chuck Schumer, who now have joined the crowd of trendoid socialists armed with torches and pitch-forks, will go along because they’re frightened of their party’s increasingly rabid left-wing base.	Name_Calling,Labeling
762206044	9136	9185	profane, with every official she could buttonhole	House sources told TheDCNF these exchanges were only a public glimpse into numerous such interactions, which were frequently profane, with every official she could buttonhole.	Loaded_Language
790483991	8985	9026	two homosexual “friends” of his dicastery	Later, however, when his work as prefect of the Congregation for Bishops was being undermined because recommendations for episcopal appointments were being passed directly to Pope Francis by two homosexual “friends” of his dicastery, bypassing the Cardinal, he gave up.	Name_Calling,Labeling
999001296	160	178	on a massive scale	The Democrats are committing voter fraud on a massive scale, and not only in Florida, but in Arizona, Georgia, California and elsewhere.	Exaggeration,Minimisation
698780559	733	764	they want the public to believe	There are two conflicting timelines of Campos’s injury, but what the media has so far made clear, is that they want the public to believe Campos was walking down the Mandalay Bay Hotel & Casino’s 32nd floor hallway, when Stephen Paddock spotted him on a camera he’d allegedly set up in a room service cart, just outside his suite.	Doubt
773520636	3176	3248	this protestant should know what the Bible says about those in authority	The author went on to write that this protestant should know what the Bible says about those in authority.	Doubt
786731884	2091	2136	the skyrocketing jihadist stabbings in Europe	It is no surprise, therefore, that Frontpage’s editor, and host of ‘The Glazov Gang,’ was suspended from Facebook for 30 days yesterday, on September 11, after posting his article, ‘9 Steps to Successfully Counter Jihad.’ Glazov believed that the article was more relevant and urgent than ever due to the skyrocketing jihadist stabbings in Europe — and to the 17th anniversary of 9/11 that was approaching the next day.	Exaggeration,Minimisation
752287274	0	34	Muslim Dem IT Aides' Family Member	Muslim Dem IT Aides' Family Member Paid $45,000 After Hiring Attorney Specializing In Money Laundering Cases  Abid Awan, a member of a family of highly paid Democratic IT aides, was awarded a $45,000 payout in court after he enlisted a high profile attorney specializing in money laundering cases to defeat his stepmother in a bitter dispute over his father’s life insurance policy.	Name_Calling,Labeling
773520636	17544	17580	the corrupt and wicked in government	And when Peter was come to himself, he said, Now I know of a surety, that the Lord hath sent his angel, and hath delivered me out of the hand of Herod, and from all the expectation of the people of the Jews.” Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only the corrupt and wicked priests, but also the corrupt and wicked in government.	Name_Calling,Labeling
111111133	2572	2589	overly aggressive	Acosta on one occasion, for questions he deemed overly aggressive or grandstanding.	Loaded_Language
727869189	1955	1994	his most theologically unsettling point	During the crux of the debate — the discussion of communion for the divorced and remarried — Faggioli raised his most theologically unsettling point.	Appeal_to_fear-prejudice
703698295	7231	7261	the “cool kids” in the Vatican	A quick examination of Muller’s interviews and statements reveal an irresolute and ultimately calculating mind of a man who is – so I am told by sources close to him – motivated mainly by a puerile desire to be approved of by the “cool kids” in the Vatican, on the one hand, and an unshakeable conviction of his own theological brilliance on the other.	Name_Calling,Labeling
759478604	14664	14676	death spiral	Possible Solutions: Two convents intend to amalgamate.” This is the death spiral.	Loaded_Language
707451080	563	579	truly disgusting	So yes, I am going to share some things in this article that are truly disgusting, but the goal is to show you that it is time to take our government back from the corrupt career politicians that are completely and utterly out of control.	Loaded_Language
761968851	149	172	the Wolff book brouhaha	| Articles  ) Forget the Wolff book brouhaha and Trump’s latest DACA dalliance —the real story is outside the Beltway , where real people live and work.	Loaded_Language
741655444	2277	2320	freedom from jihad and Shariah shines forth	Article posted with permission from Pamela Geller Pamela Geller's commitment to freedom from jihad and Shariah shines forth in her books	Loaded_Language
728972961	23063	23083	the devil is in Rome	But I think that the devil is in Rome, as was said by our Lady of Fatima and Our Lady of La Salette.	Loaded_Language
790677230	2773	2797	ridiculous overall story	In much of her testimony, Ford came across as presentable and seemingly credible, though vague and sometimes evasive, her ridiculous overall story notwithstanding.	Loaded_Language
758386255	12607	12615	autonomy	Funny you should mention autonomy: Bioethics and the dissolution of “unviable” monasteries It’s funny that the buzzword of the day in Rome should be “autonomy”.	Repetition
727869189	5091	5216	Could we possibly say, for instance, that it’s impossible to judge the presidency of Donald Trump relative to past presidents	Could we possibly say, for instance, that it’s impossible to judge the presidency of Donald Trump relative to past presidents?	Doubt
773520636	5528	5556	unfruitful works of darkness	We are to “have no fellowship with the unfruitful works of darkness, but rather reprove (expose) them” (Ephesians 5:11).	Loaded_Language
780414700	6315	6393	the license for sin to have a home in individuals at every level of the Church	The deeper crisis that must be addressed is the license for sin to have a home in individuals at every level of the Church.	Loaded_Language
765385479	6930	6943	the terrorist	Screw the terrorist.	Name_Calling,Labeling
762340819	3875	3901	committing jihad massacres	The Iranians also operate a global network of jihad terror organizations, one of which, Hizballah, is quite active in Mexico now, with the obvious ultimate intention of crossing the border and committing jihad massacres of Americans.	Appeal_to_fear-prejudice
773520636	17874	18158	Furthermore, the individual that wrote the article teaching people to submit to authorities might want to take the time to read Romans 12:21 before perverting and twisting Romans 13, so that the next time he will not be guilty of twisting Scripture the way that Satan twists Scripture	Furthermore, the individual that wrote the article teaching people to submit to authorities might want to take the time to read Romans 12:21 before perverting and twisting Romans 13, so that the next time he will not be guilty of twisting Scripture the way that Satan twists Scripture.	Doubt
728972961	5422	5563	if the Church continues to remain under the influence of the prince of the revolution, then, in the future a crisis will come upon the Church	Pope Pius VI said during the French Revolution that if the Church continues to remain under the influence of the prince of the revolution, then, in the future a crisis will come upon the Church.	Appeal_to_fear-prejudice
758512204	1971	1982	jihad spies	No wonder the Democrats tried to squirrel these jihad spies out of the country.	Name_Calling,Labeling
999000312	2367	2421	the world’s greatest expert on electronic surveillance	My friend William Binney, probably the world’s greatest expert on electronic surveillance, former Technical Director of the NSA, has stated that it is impossible the DNC servers were hacked, the technical evidence shows it was a download to a directly connected memory stick.	Name_Calling,Labeling
778664280	2036	2050	good Catholics	A number of good Catholics have written to ask for a personal accounting on my part, inquiring whether I was made aware in my time in Newark of the 2005 and 2007 settlements involving Archbishop McCarrick, or if I knew of any allegations against him.	Name_Calling,Labeling
699291100	3829	3839	threatened	What should I do about it?’” Toensing said she also possesses memos that recount how the Justice Department last year threatened her client when he attempted to file a lawsuit that could have drawn attention to the Russian corruption during the 2016 presidential race as well as helped him recover some of the money Russians stole from him through kickbacks during the FBI probe.	Repetition
773520636	8381	8516	"Anyone who teaches that they have authority to execute wrath upon ""him that doeth good” is ignorant and uneducated in their misleadings"	"Civil magistrates have a divine duty to “execute wrath upon him that doeth evil.” Anyone who teaches that they have authority to execute wrath upon ""him that doeth good” is ignorant and uneducated in their misleadings (1 John 4:6)."	Doubt
999000675	225	242	Death to America”	Democrat’s Friend Louis Farrakhan In Iran: “Death to America!” – America Is The “Great Satan”  Ah yes, Nation of Islam leader, racist, and totalitarian Louis Farrakhan was recently captured on video in Tehran, Iran chanting “Death to America” in Arabic and stating that America is the “Great Satan.” Louis Farrakhan, leader of Nation of Islam, met with Mohsen Rezaee, secretary of Iran‘s Expediency Discernment Council, on Sunday in Tehran.	Repetition
999000880	3114	3143	We need people in our country	“We need people in our country but they have to come in legally and they have to have merit,” Trump told reporters before departing for Paris.	Flag-Waving
789615291	7520	7554	rabid partisans and office-seekers	We will learn nothing about Kavanaugh that makes him any less eminently qualified for the Supreme Court, nothing that can add to the thousands of pages of documents already presented to the Committee, or the hundreds of hours of the judge’s testimony before rabid partisans and office-seekers.	Name_Calling,Labeling
707451080	259	276	deeply disturbing	I am going to share some things with you in this article that are deeply disturbing, but it is for a purpose.	Loaded_Language
699478811	190	356	putting the Revolutionary Guard in the terrorist lists with terrorist groups can be very costly to the United States and its military bases and forces in the region.”	"Iranian Aggression Intensifies  Last July, Major General Mohammad Bagheri, the Iranian Revolutionary Guards (IRGC) military commander and chief of staff of Iran’s armed forces, warned that “putting the Revolutionary Guard in the terrorist lists with terrorist groups can be very costly to the United States and its military bases and forces in the region.” IRGC commander Mohammad Ali Jafari said on October 8th that ""if the news is correct about the stupidity of the American government in considering the Revolutionary Guards a terrorist group, then the Revolutionary Guards will consider the American army to be like Islamic State all around the world."""	Appeal_to_fear-prejudice
737194975	5413	5416	ALL	It just says he was “known.” And even if he did act weirdly or strangely, if we denied constitutional rights to everyone in that category, a majority of Americans would have no rights, and ALL of Congress would have no rights.	Loaded_Language
722512241	3840	3886	For the Qur’an, Christians “are only impurity”	As a proper Antichrist, Islam exists only as an enemy of all: “Between us and you there is enmity and hatred forever, until you believe in Allah alone!” (Qur’an 60.4) For the Qur’an, Christians “are only impurity” (Quran 9.28),” “the worst of Creation” (Qur’an 98.6), all condemned to Hell (Qur’an 4.48), so Allah must exterminate them (Quran 9.30).	Black-and-White_Fallacy
700387229	925	966	the number of cases is growing by the day	And the number of cases is growing by the day, said Elhadj As Sy, the secretary general of the International Federation of Red Cross and Red Crescent Societies (IFRC) as the nation put all hospitals on high alert.	Appeal_to_Authority
786919720	1146	1156	ridiculous	I have, however, referred the matter to federal investigative authorities.” Of course, the reality is that bringing something like this up more than 30 years later is ridiculous, but this is the Democrats for you.	Loaded_Language
762546428	1158	1166	violence	Christopher Chin, head of Homeschool Louisiana, told The Times that parents are fed up with “the violence, the bullying, the unsafe environments.” Many parents are also disturbed by the social engineering, which amounts to brainwashing and indoctrination that goes on in a public school.	Repetition
705035735	2403	2426	devastating communities	Health workers have been asked to work with communities to stop the deadly Marburg outbreak from devastating communities in the rural region.	Loaded_Language
762206044	2378	2397	fucking Islamophobe	Wasserman Schultz cornered House Chief Administrative Officer Phil Kiko and called him a “fucking Islamophobe,” saying “you will not so much as take away their parking spots,” the two House employees said Kiko told them.	Name_Calling,Labeling
708487008	160	267	warning the plague that has sickened over 2000 people in Madagascar since August is impossible to eradicate	Black Death Warning: The Plague Is Impossible To Eradicate  Face masks are placed on children in Antananarivo, Madagascar (AP Photo/Alexander JOE) An expert is warning the plague that has sickened over 2000 people in Madagascar since August is impossible to eradicate.	Appeal_to_fear-prejudice
782017101	2253	2262	predators	Today, there’s also a fifth column working to tear down the walls from within – not only pedophiles like John Geoghan, but also predators like Theodore McCarrick.	Name_Calling,Labeling
707566605	1665	1718	If that kicks in, the plague will be far, far scarier	If that kicks in, the plague will be far, far scarier.	Appeal_to_fear-prejudice
788056108	14419	14785	To quote Cajetan again: “Indeed the Church has the right to separate herself from an heretical pope according to divine law. Consequently, it has the right, by the same divine law, to use all means of themselves necessary for such separation; and those that juridically correspond to the crime, are of themselves necessary”—meaning the resort to an imperfect council	To quote Cajetan again: “Indeed the Church has the right to separate herself from an heretical pope according to divine law. Consequently, it has the right, by the same divine law, to use all means of themselves necessary for such separation; and those that juridically correspond to the crime, are of themselves necessary”—meaning the resort to an imperfect council.	Appeal_to_Authority
764664283	5615	5622	massive	Wills’ peaceful fantasy Qur’an raises one massive question that the author does not and cannot answer: if the Islamic holy book is really as peaceful and benign as Garry Wills makes it out to be, why do so very many Muslims worldwide misunderstand it?	Loaded_Language
788173482	5113	5130	the Gang of Eight	"""Your agencies' review, and any communication with the White House on the substance of the material, should not proceed further until you have briefed the Gang of Eight in person."""	Name_Calling,Labeling
770945799	2046	2055	Americans	“My conviction and subsequent sentence for a minor military infraction compared to the treatment of politically connected individuals is a glaring example of a violation of the rights of all Americans to have equal protection under the law.” The former Navy sailor is acting as his own attorney after the Appellate Division of the New York State Supreme Court New York barred his lawyer, Ronald Daigle, from practicing for one year.	Flag-Waving
741655444	802	829	a “nomad” and a “vagabond,”	The sources described Kazi as a “nomad” and a “vagabond,” who lived in many places.	Name_Calling,Labeling
708071969	300	308	shocking	Shock: Black Death Patients Are ESCAPING The Hospital Over Fear Of Needles As Officials Worry Plague Could Spread  Patients in Madagascar who are currently suffering from the plague have “escaped” multiple hospitals in the area over fears of needles and hospital treatment as a whole, according to a shocking report in The Sun newspaper.	Loaded_Language
776345502	1575	1649	his 17 Angry Democrats that are doing his dirty work are a disgrace to USA	‘Bob Mueller is totally conflicted, and his 17 Angry Democrats that are doing his dirty work are a disgrace to USA!’ The White House ignored a Wednesday Wednesday about whether Trump will push the envelope further and order Sessions to fire Mueller.	Flag-Waving
763440871	1536	1545	shootings	But again, it’s not just the shootings, which admittedly have increased in the past couple of years.	Repetition
771879020	4547	4614	a Cold War-era law intended to control exports of military articles	SAF and Defense Distributed had filed suit against the State Department under the Obama administration, challenging a May 2013 attempt to control public speech as an export under the International Traffic in Arms Regulations (ITAR), a Cold War-era law intended to control exports of military articles.	Name_Calling,Labeling
775448623	3184	3203	this foolhardy move	The administration should stop the State Department from going ahead with this foolhardy move, and Congress should act to plug the loopholes that these guns are designed to take advantage of.	Loaded_Language
770376380	2121	2138	They do not exist	They do not exist.” And he has also said: “Authentic Islam and the proper reading of the Koran are opposed to every form of violence.” take our poll - story continues below Will Brett Kavanaugh be confirmed to the Supreme Court?	Repetition
758386255	10166	10174	autonomy	67 Affiliation [with another monastery, appointed by the Vatican] can be an opportunity for recovery and rebirth when autonomy of life is partially compromised.	Repetition
789121798	4294	4323	Everything else is just noise	Everything else is just noise.	Exaggeration,Minimisation
793534424	1598	1613	Bush gatekeeper	McFarland from her role as Deputy National Security Advisor and inserted Dina Habib-Powell, former Bush gatekeeper whose pals included Huma Abedin and Valerie Jarrett.	Name_Calling,Labeling
761546223	158	171	homeschooling	Homeschooling Protects Children from Violence and Marxism  The February mass shooting at a high school in Parkland, Florida prompted many parents to consider homeschooling.	Repetition
788173482	2228	2280	the duly elected 45th president of the United States	How else does one fight back against the nameless, faceless bureaucrats of the Deep State who hide behind anonymity to undermine the duly elected 45th president of the United States?	Name_Calling,Labeling
761674108	2630	2660	millions uprooted and homeless	dead, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.	Loaded_Language
999001619	12476	12537	an arbiter of what is good for Britain and the world’s future	None of that is discussed in the Guardian or considered grounds for disqualifying Blair as an arbiter of what is good for Britain and the world’s future.	Name_Calling,Labeling
111111135	7009	7036	an “outstanding human being	Farrakhan an “outstanding human being,” and later said he was not bothered by the leader’s position on “The Jewish Question.”  After a monthlong backlash about that interview, largely in conservative media, Mr.	Exaggeration,Minimisation
787002327	1709	1881	This suggested, of course, that giving advice on how to prevent another 9/11, and all other Jihadist attacks against America, is now against Facebook’s ‘community standards	This suggested, of course, that giving advice on how to prevent another 9/11, and all other Jihadist attacks against America, is now against Facebook’s ‘community standards’.	Causal_Oversimplification
761874505	2725	2782	actively destroyed his life an made it all but impossible	The government actively destroyed his life an made it all but impossible for his family to get back on track.	Exaggeration,Minimisation
725731328	2505	2577	how long do you think a nation can do evil and not face the wrath of god	I’m not crazy, I’m not drunk, how long do you think a nation can do evil and not face the wrath of god?” “You see everybody always talk about Hitler exterminating six million Jews.	Loaded_Language
111111133	3830	3836	flouts	Trump flouts many of the norms associated with his office.	Loaded_Language
999000312	4389	4786	That supposedly great newspaper titles like the Guardian, New York Times and Washington Post are involved in the spreading of lies to damage Assange, and are seeking his imprisonment for publishing state secrets, is clear evidence that the idea of the “liberal media” no longer exists in the new plutocratic age. The press are not on the side of the people, they are an instrument of elite control	That supposedly great newspaper titles like the Guardian, New York Times and Washington Post are involved in the spreading of lies to damage Assange, and are seeking his imprisonment for publishing state secrets, is clear evidence that the idea of the “liberal media” no longer exists in the new plutocratic age. The press are not on the side of the people, they are an instrument of elite control.	Doubt
764664283	5196	5228	kill them wherever you find them	But if they turn away, then seize them and kill them wherever you find them and take not from among them any ally or helper (4:89).	Appeal_to_fear-prejudice
761334950	14078	14088	incredible	~~~ Given this incredible picture of a Carmelite Order in the last rattle of its death throes, the rest of the summaries of speeches given at the meeting in Avila read as outright surreal, leaving us to wonder if any of these people are attached in any way to reality.	Loaded_Language
787002327	3152	3178	in such a fascistic manner	The question remains: why would Facebook remove such a page, let alone in such a fascistic manner -- and never explain why?	Bandwagon,Reductio_ad_hitlerum
696264594	7337	7433	Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews	Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.	Black-and-White_Fallacy
769962328	5348	5370	the genuine Christians	Furthermore, I said to this woman that this is how you can tell who the genuine Christians are that are in the fight and those who are counterfeits.	Name_Calling,Labeling
